aviary,breed,bird,louse,allopreening_obs,selfpreening_obs,total_obs,perc_allo,perc_self
1,Black Homer,1,29,0,14,210,0,6.67
1,Black Homer,2,30,0,12,210,0,5.71
1,Black Homer,3,26,0,22,210,0,10.48
1,Black Homer,4,19,1,10,210,0.48,4.76
2,Black Homer,5,9,0,50,210,0,23.81
2,Black Homer,6,41,0,20,210,0,9.52
2,Black Homer,7,29,0,16,210,0,7.62
2,Black Homer,8,26,0,28,210,0,13.33
3,Black Homer,9,6,6,13,205,2.93,6.34
3,Black Homer,10,39,0,26,204,0,12.75
3,Black Homer,11,9,7,11,205,3.42,5.37
3,Black Homer,12,6,0,26,205,0,12.68
4,Feral,13,13,6,17,210,2.86,8.1
4,Feral,14,11,5,20,210,2.38,9.52
4,Feral,15,7,8,20,210,3.81,9.52
4,Feral,16,13,5,6,210,2.38,2.86
5,Feral,17,27,2,10,206,0.97,4.85
5,Feral,18,6,6,22,206,2.91,10.68
5,Feral,19,12,3,11,206,1.46,5.34
5,Feral,20,81,3,22,206,1.46,10.68
6,Feral,21,13,5,5,210,2.38,2.38
6,Feral,22,24,5,29,210,2.38,13.81
6,Feral,23,30,2,18,210,0.95,8.57
6,Feral,24,10,7,24,210,3.33,11.43
7,Figurita,25,48,2,23,210,0.95,10.95
7,Figurita,26,4,3,41,210,1.43,19.52
7,Figurita,27,2,11,22,210,5.24,10.48
7,Figurita,28,14,4,46,210,1.91,21.91
8,Figurita,29,13,3,22,210,1.43,10.48
8,Figurita,30,24,5,31,210,2.38,14.76
8,Figurita,31,16,3,39,210,1.43,18.57
8,Figurita,32,5,7,11,210,3.33,5.24
9,Figurita,33,5,4,29,203,1.97,14.29
9,Figurita,34,6,15,23,203,7.39,11.33
9,Figurita,35,8,12,21,203,5.91,10.35
9,Figurita,36,13,7,29,203,3.45,14.29
