S.year,R.year,SSB,R
1932,1935,3526,4098
1933,1936,3417,2821
1934,1937,3628,5383
1935,1938,2847,6940
1936,1939,1689,6763
1937,1940,1207,11808
1938,1941,1202,14442
1939,1942,1609,6152
1940,1943,1761,3268
1941,1944,2459,3720
1942,1945,2066,2385
1943,1946,1679,1625
1944,1947,1261,1667
1945,1948,720,3875
1946,1949,566,4261
1947,1950,405,3690
1948,1951,740,290
1949,1952,793,397
1950,1953,780,972
1951,1954,277,1197
1952,1955,136,382
1953,1956,202,264
1954,1957,239,588
1955,1958,170,1586
1956,1959,108,905
1957,1960,90,288
1958,1961,177,111
1959,1962,122,74
1960,1963,88,56
